date_day,season,year,month,hour,holiday,day_of_the_week,working_day,weather_situation,temp,atemp,humidity,wind_speed,user_casual,user_registered,user_count,temp_category,month_year
2011-01-01,Spring,2011,January,0,0,Saturday,Holiday,Clear or Light Clouds,9.84,0.2879,0.81,0.0,3,13,16,Cold,Jan 2011
2011-01-01,Spring,2011,January,1,0,Saturday,Holiday,Clear or Light Clouds,9.02,0.2727,0.8,0.0,8,32,40,Cold,Jan 2011
2011-01-01,Spring,2011,January,2,0,Saturday,Holiday,Clear or Light Clouds,9.02,0.2727,0.8,0.0,5,27,32,Cold,Jan 2011
2011-01-01,Spring,2011,January,3,0,Saturday,Holiday,Clear or Light Clouds,9.84,0.2879,0.75,0.0,3,10,13,Cold,Jan 2011
2011-01-01,Spring,2011,January,4,0,Saturday,Holiday,Clear or Light Clouds,9.84,0.2879,0.75,0.0,0,1,1,Cold,Jan 2011
2011-01-01,Spring,2011,January,5,0,Saturday,Holiday,Foggy or Cloudy with Mist,9.84,0.2576,0.75,0.0896,0,1,1,Cold,Jan 2011
2011-01-01,Spring,2011,January,6,0,Saturday,Holiday,Clear or Light Clouds,9.02,0.2727,0.8,0.0,2,0,2,Cold,Jan 2011
2011-01-01,Spring,2011,January,7,0,Saturday,Holiday,Clear or Light Clouds,8.200000000000001,0.2576,0.86,0.0,1,2,3,Cold,Jan 2011
2011-01-01,Spring,2011,January,8,0,Saturday,Holiday,Clear or Light Clouds,9.84,0.2879,0.75,0.0,1,7,8,Cold,Jan 2011
2011-01-01,Spring,2011,January,9,0,Saturday,Holiday,Clear or Light Clouds,13.120000000000001,0.3485,0.76,0.0,8,6,14,Cool,Jan 2011
2011-01-01,Spring,2011,January,10,0,Saturday,Holiday,Clear or Light Clouds,15.58,0.3939,0.76,0.2537,12,24,36,Cool,Jan 2011
2011-01-01,Spring,2011,January,11,0,Saturday,Holiday,Clear or Light Clouds,14.76,0.3333,0.81,0.2836,26,30,56,Cool,Jan 2011
2011-01-01,Spring,2011,January,12,0,Saturday,Holiday,Clear or Light Clouds,17.22,0.4242,0.77,0.2836,29,55,84,Cool,Jan 2011
2011-01-01,Spring,2011,January,13,0,Saturday,Holiday,Foggy or Cloudy with Mist,18.86,0.4545,0.72,0.2985,47,47,94,Cool,Jan 2011
2011-01-01,Spring,2011,January,14,0,Saturday,Holiday,Foggy or Cloudy with Mist,18.86,0.4545,0.72,0.2836,35,71,106,Cool,Jan 2011
2011-01-01,Spring,2011,January,15,0,Saturday,Holiday,Foggy or Cloudy with Mist,18.04,0.4394,0.77,0.2985,40,70,110,Cool,Jan 2011
2011-01-01,Spring,2011,January,16,0,Saturday,Holiday,Foggy or Cloudy with Mist,17.22,0.4242,0.82,0.2985,41,52,93,Cool,Jan 2011
2011-01-01,Spring,2011,January,17,0,Saturday,Holiday,Foggy or Cloudy with Mist,18.04,0.4394,0.82,0.2836,15,52,67,Cool,Jan 2011
2011-01-01,Spring,2011,January,18,0,Saturday,Holiday,Light Rain or Light Snow,17.22,0.4242,0.88,0.2537,9,26,35,Cool,Jan 2011
2011-01-01,Spring,2011,January,19,0,Saturday,Holiday,Light Rain or Light Snow,17.22,0.4242,0.88,0.2537,6,31,37,Cool,Jan 2011
2011-01-01,Spring,2011,January,20,0,Saturday,Holiday,Foggy or Cloudy with Mist,16.400000000000002,0.4091,0.87,0.2537,11,25,36,Cool,Jan 2011
2011-01-01,Spring,2011,January,21,0,Saturday,Holiday,Foggy or Cloudy with Mist,16.400000000000002,0.4091,0.87,0.194,3,31,34,Cool,Jan 2011
2011-01-01,Spring,2011,January,22,0,Saturday,Holiday,Foggy or Cloudy with Mist,16.400000000000002,0.4091,0.94,0.2239,11,17,28,Cool,Jan 2011
2011-01-01,Spring,2011,January,23,0,Saturday,Holiday,Foggy or Cloudy with Mist,18.86,0.4545,0.88,0.2985,15,24,39,Cool,Jan 2011
2011-01-02,Spring,2011,January,0,0,Sunday,Holiday,Foggy or Cloudy with Mist,18.86,0.4545,0.88,0.2985,4,13,17,Cool,Jan 2011
2011-01-02,Spring,2011,January,1,0,Sunday,Holiday,Foggy or Cloudy with Mist,18.04,0.4394,0.94,0.2537,1,16,17,Cool,Jan 2011
2011-01-02,Spring,2011,January,2,0,Sunday,Holiday,Foggy or Cloudy with Mist,17.22,0.4242,1.0,0.2836,1,8,9,Cool,Jan 2011
2011-01-02,Spring,2011,January,3,0,Sunday,Holiday,Foggy or Cloudy with Mist,18.86,0.4545,0.94,0.194,2,4,6,Cool,Jan 2011
2011-01-02,Spring,2011,January,4,0,Sunday,Holiday,Foggy or Cloudy with Mist,18.86,0.4545,0.94,0.194,2,1,3,Cool,Jan 2011
2011-01-02,Spring,2011,January,6,0,Sunday,Holiday,Light Rain or Light Snow,17.22,0.4242,0.77,0.2985,0,2,2,Cool,Jan 2011
2011-01-02,Spring,2011,January,7,0,Sunday,Holiday,Foggy or Cloudy with Mist,16.400000000000002,0.4091,0.76,0.194,0,1,1,Cool,Jan 2011
2011-01-02,Spring,2011,January,8,0,Sunday,Holiday,Light Rain or Light Snow,16.400000000000002,0.4091,0.71,0.2239,0,8,8,Cool,Jan 2011
2011-01-02,Spring,2011,January,9,0,Sunday,Holiday,Foggy or Cloudy with Mist,15.58,0.3939,0.76,0.2239,1,19,20,Cool,Jan 2011
2011-01-02,Spring,2011,January,10,0,Sunday,Holiday,Foggy or Cloudy with Mist,14.76,0.3485,0.81,0.2239,7,46,53,Cool,Jan 2011
2011-01-02,Spring,2011,January,11,0,Sunday,Holiday,Foggy or Cloudy with Mist,14.76,0.3333,0.71,0.2537,16,54,70,Cool,Jan 2011
2011-01-02,Spring,2011,January,12,0,Sunday,Holiday,Foggy or Cloudy with Mist,14.76,0.3333,0.66,0.2985,20,73,93,Cool,Jan 2011
2011-01-02,Spring,2011,January,13,0,Sunday,Holiday,Foggy or Cloudy with Mist,14.76,0.3485,0.66,0.1343,11,64,75,Cool,Jan 2011
2011-01-02,Spring,2011,January,14,0,Sunday,Holiday,Light Rain or Light Snow,14.76,0.3485,0.76,0.194,4,55,59,Cool,Jan 2011
2011-01-02,Spring,2011,January,15,0,Sunday,Holiday,Light Rain or Light Snow,13.940000000000001,0.3333,0.81,0.1642,19,55,74,Cool,Jan 2011
2011-01-02,Spring,2011,January,16,0,Sunday,Holiday,Light Rain or Light Snow,13.940000000000001,0.3333,0.71,0.1642,9,67,76,Cool,Jan 2011
2011-01-02,Spring,2011,January,17,0,Sunday,Holiday,Clear or Light Clouds,13.940000000000001,0.3333,0.57,0.194,7,58,65,Cool,Jan 2011
2011-01-02,Spring,2011,January,18,0,Sunday,Holiday,Foggy or Cloudy with Mist,14.76,0.3333,0.46,0.3284,10,43,53,Cool,Jan 2011
2011-01-02,Spring,2011,January,19,0,Sunday,Holiday,Clear or Light Clouds,13.120000000000001,0.2879,0.42,0.4478,1,29,30,Cool,Jan 2011
2011-01-02,Spring,2011,January,20,0,Sunday,Holiday,Clear or Light Clouds,12.299999999999999,0.2727,0.39,0.3582,5,17,22,Cool,Jan 2011
2011-01-02,Spring,2011,January,21,0,Sunday,Holiday,Clear or Light Clouds,10.66,0.2273,0.44,0.3284,11,20,31,Cool,Jan 2011
2011-01-02,Spring,2011,January,22,0,Sunday,Holiday,Clear or Light Clouds,9.84,0.2121,0.44,0.2985,0,9,9,Cold,Jan 2011
2011-01-02,Spring,2011,January,23,0,Sunday,Holiday,Clear or Light Clouds,9.02,0.2273,0.47,0.1642,0,8,8,Cold,Jan 2011
